QuestionID,Unit,Part,Question
A101,1,A,What is Swarm Intelligence? How does it draw spiration from nature?
A102,1,A,Define the essence of an algorithm in the context of Swarm Intelligence.
A103,1,A,What is the role of algorithms in solving optimization problems in Swarm Intelligence?
A104,1,A,Write the concept of self-organization in nature and its significance in Swarm Intelligence.
A105,1,A,How do local interactions in a swarm lead to global problem-solving behavior?
A106,1,A,What is the relationship between algorithms and self-organization? Provide examples.
A107,1,A,"What is ""emergent behavior"" in Swarm Intelligence systems?"
A108,1,A,List the main characteristics of metaheuristics.
A109,1,A,How do metaheuristics help solve complex optimization problems?
A110,1,A,What are the advantages of using metaheuristics in solving real-world problems?
A111,1,A,How Ant Colony Optimization (ACO) works in solving optimization problems like the Traveling Salesman Problem?
A112,1,A,How does the Bee Algorithm mimic the behavior of honeybees in solving optimization tasks?
A113,1,A,How Particle Swarm Optimization (PSO) works? What is the role of individual particles and the swarm in finding solutions?
A114,1,A,"What is the Krill Herd Algorithm, and how does it model the behavior of krill in its search for optimal solutions?"
A115,1,A,"Compare and contrast the different swarm-based algorithms: ACO, Bee Algorithms, PSO, and Krill Herd."
A116,1,A,How do Swarm Intelligence algorithms handle dynamic or changing environments?
A117,1,A,What are the primary differences between swarm-based algorithms and traditional optimization methods?
A118,1,A,"What is the concept of ""pheromone"" in Ant Colony Optimization? How does it influence decision-making?"
A119,1,A,"Describe the process of ""waggle dance"" in bees and how it is used in optimization problems."
A120,1,A,What role does social interaction play in Particle Swarm Optimization and its convergence to an optimal solution?
B101,1,B,Explain the concept of Swarm Intelligence. How does it differ from traditional artificial intelligence techniques?
B102,1,B,"Illustrate how heuristics are applied in solving a path finding problem, such as robot navigation or game AI. How does the choice of heuristic function affect the algorithm’s performance in terms of both time complexity and solution quality?"
B103,1,B,"Explain how Ant Colony Optimization (ACO) works. What are the key components of the algorithm, such as pheromones and the movement of ants that contribute to finding optimal solutions?"
B104,1,B,Describe the Particle Swarm Optimization (PSO) algorithm. How do particles in the swarm cooperate and share information to find optimal solutions?
B105,1,B,Demonstrate how the Krill Herd Algorithm can be adapted to solve a real-world optimization problem. What modifications would you make to improve its performance?
B106,1,B,i).Discuss the advantages and limitations of Best First Search. ii).Explain in detail about A* and Hill Climbing .  
B107,1,B,Explain how A* Algorithm is an extension of Best First Search and its application in pathfinding
B108,1,B,"Explain the Hill Climbing algorithm. What are the potential problems, such as getting stuck in local maxima?"
B109,1,B,Discuss the concept of local search methods and how they are applied in AI optimization tasks.
B110,1,B,"i).Compare and contrast the Ant Colony Optimization (ACO), Bee Algorithm, Particle Swarm Optimization (PSO) and Krill Herd Algorithm.ii).Discuss the Swarm intelligence algorithms similarities and differences in terms of their working principles and areas of application. "
C101,1,C,"Analyse the process of self-organization in Swarm Intelligence. How do local interactions among agents lead to global problem-solving, and how can this process be applied to optimize a real-world task?"
C102,1,C,Analyze how Particle Swarm Optimization (PSO) can be used to solve a multi-objective optimization problem.
C103,1,C,"Demonstrate the application of the Krill Herd Algorithm in solving a continuous optimization problem. Explain how the movement of krill within the herd and their collective behavior can be used to find the global optimum in a complex, multi-dimensional space."
C104,1,C,"Describe the Breadth First Search (BFS) strategy in detail.
Explain how the principles of BFS relate to collective exploration and parallel search behavior observed in Swarm Intelligence systems."
A201,2,A,Define Ant Colony Optimization (ACO).
A202,2,A,"What is stigmergy, and how is it relevant to ACO?"
A203,2,A,Explain the role of pheromones in the ACO algorithm.
A204,2,A,Differentiate between combinatorial optimization and meta-heuristic approaches.
A205,2,A,What is the significance of convergence proofs in the context of ACO?
A206,2,A,What are the main components of an ACO algorithm?
A207,2,A,"What is the Elitist Ant System (EAS), and how does it differ from the basic ACO?"
A208,2,A,Define Minmax Ant System (MMAS) and its key features.
A209,2,A,How does the Rank-Based Ant Colony System (RANKAS) prioritize solutions?
A210,2,A,Compare Elitist Ant System (EAS) and Minmax Ant System (MMAS) in terms of their impact on pheromone updates.
A211,2,A,How is the Ant Colony Optimization (ACO) algorithm applied to the Traveling Salesperson Problem (TSP)?
A212,2,A,What are the advantages of using Ant Colony Optimization (ACO )for feature selection in machine learning?
A213,2,A,How Ant Colony Optimization (ACO )can be adapted for dynamic optimization problems?
A214,2,A,Explain the role of pheromone evaporation in preventing stagnation in Ant Colony Optimization(ACO).
A215,2,A,How does ACO handle the exploration vs. exploitation trade-off?
A216,2,A,Write the pheromone update rule used in ACO.
A217,2,A,What is the importance of the initialization phase in ACO?
A218,2,A,Discuss the fitness function used in ACO for combinatorial optimization.
A219,2,A,What is the role of heuristics in the ACO framework?
A220,2,A,How do ants' paths converge to an optimal solution in ACO algorithms?
B201,2,B,Discuss the working principles of Ant Colony Optimization (ACO) and explain how stigmergy is used as a communication mechanism in ACO algorithms.
B202,2,B,Explain the relationship between combinatorial optimization and meta-heuristics in the context of ACO. How does ACO serve as a meta-heuristic?
B203,2,B,Provide a detailed explanation of convergence proofs in ACO. Why is proving convergence important in optimization algorithms?
B204,2,B,"Describe the ACO algorithm in detail, highlighting each phase and its role in solving optimization problems."
B205,2,B,i).Discuss the concept of model-based search in ACO. ii).How does ACO differ from traditional search methods? 
B206,2,B,"Compare and contrast the Elitist Ant System (EAS), Minmax Ant System (MMAS), and Rank-Based Ant Colony System (RANKAS) in terms of their objectives, pheromone update rules, and performance."
B207,2,B,Elaborate on the role and significance of pheromone evaporation and reinforcement mechanisms in preventing premature convergence in ACO variations.
B208,2,B,Explain the implementation of the ACO algorithm for solving the Traveling Salesperson Problem (TSP). Discuss the challenges faced during implementation.
B209,2,B,i).Describe the ACO algorithm for feature selection in machine learning.ii).How does ACO improve feature selection compared to other methods?
B210,2,B,Evaluate the strengths and limitations of ACO. Discuss possible enhancements or hybridizations to improve the performance of ACO in complex optimization problems.
C201,2,C," Explain the concept of ""Rank-Based Ant Colony System"" (RANKAS) and how it helps improve the convergence behavior of ACO in optimization problems."
C202,2,C,"Analyze the convergence behavior of Ant Colony Optimization (ACO) when applied to large-scale optimization problems. What factors can lead to slow convergence, and how can these be mitigated?"
C203,2,C, Evaluate how Ant Colony Optimization (ACO) can be integrated with other optimization algorithms
C204,2,C,"Explain the importance of convergence proofs in Swarm Intelligence.
Discuss the theoretical approaches used to analyze and prove convergence of swarm-based optimization algorithms."
A301,3,A,How Particle Swarm Optimization (PSO) is inspired by the behavior of birds and fish?
A302,3,A,What is the analogy between bird flocking and fish schooling and the Particle Swarm Optimization (PSO) algorithm?
A303,3,A, Define the operating principles of Particle Swarm Optimization (PSO)
A304,3,A,What are the key components of the Particle Swarm Optimization (PSO) algorithm that influence its performance?
A305,3,A,What is the role of inertia weight in Particle Swarm Optimization (PSO)? How does it affect the convergence rate?
A306,3,A,What are the differences between local and global search in PSO? How do particles use both search mechanisms?
